,Normal_right_eye_origin_in_Z_axis,Normal_right_eye_origin_in_X_axis,Normal_left_eye_origin_in_Z_axis,Gaze_origin_from_world_space_in_Y_axis,Normal_right_eye_origin_in_Y_axis,Normal_left_eye_origin_in_X_axis,Gaze_origin_from_world_space_in_X_axis,Normal_left_eye_origin_in_Y_axis,Gaze_origin_from_world_space_in_Z_axis,Gaze_origin_from_local_space_in_X_axis,Right_pupil_diameter,y
10728,-28.95,-32.033,-34.673,0,4.409,35.989,0,2.988,0,0,-1,2
18228,-38.89,-30.636,-43.53,1.949,7.832,35.207,156.248,7.943,246.84,0.012,2.083,1
12050,-26.974,-30.683,-25.757,2.446,-1.234,31.983,-51.982,-1.497,76.881,-0.017,4.982,1
2569,-33.02,-31.826,-27.927,1.844,2.484,29.692,-56.303,3.688,-14.473,0.009,3.506,0
19486,-26.585,-32.483,-24.348,1.996,3.307,30.657,-41.65,4.13,405.429,-0.013,2.429,0
12583,-28.263,-30.718,-28.004,1.54,1.771,32.897,-14.665,1.69,-8.916,-0.006,2.05,0
19327,-38.185,-31.178,-39.021,1.856,7.141,33.977,9.244,7.171,-15.551,0.01,3.105,0
19691,-25.225,-27.821,-26.975,3.77,-2.669,32.484,-48.962,-3.603,45.729,0,3.341,0
12070,-29.019,-29.82,-28.14,1.389,1.705,32.957,-2.001,1.44,-9.751,0,1.024,0
1815,-22.842,-26.471,-27.24,1.782,3.389,31.386,-3.944,2.757,-17.784,-0.002,3.279,0
3532,-26.697,-27.176,-28.902,2.487,-0.51,36.689,-58.222,-2.962,72.302,0.007,3.062,1
405,-46.86,-33.379,-43.571,1.537,7.48,30.149,-10.628,8.601,-18.059,0.018,2.835,0
17678,-38.301,-31.655,-43.657,1.819,7.974,34.223,609.582,8.276,320.041,0.015,1.83,1
9024,-28.651,-31.261,-26.324,3.962,-4.479,31.334,-48.019,-4.774,48.509,0.007,4.786,0
13848,-29.34,-30.738,-28.614,23.959,2.213,32.088,-0.044,1.94,52.327,-0.001,4.147,2
18636,-22.977,-30.471,-19.923,1.791,2.055,28.991,17.62,3.658,-16.928,-0.001,3.739,0
2548,-27.192,-26.692,-28.919,2.613,-0.677,37.446,-52.155,-3.195,76.822,0.002,3.335,1
19979,-41.779,-32.132,-41.71,1.639,6.041,32.854,-5.561,6.265,-7.615,0.001,2.716,0
